Instância,best,media,tempo
c12_sf,46.0,46.00,37.19
c12_sf_r,44.0,44.00,28.44
c13_sf,259.0,260.20,2936.84
c13_sf_r,259.0,260.40,4114.01
c14_sf,325.0,326.90,9057.92
c14_sf_r,317.0,318.60,14410.97
cc3-4p_sf,2248.0,2248.00,0.27
cc3-4p_sf_r,1347.0,1347.00,0.27
cc3-4u_sf,22.0,22.00,0.14
cc3-4u_sf_r,14.0,14.00,0.19
cc3-5p_sf,3472.0,3473.70,2.76
cc3-5p_sf_r,2691.0,2691.40,4.20
cc3-5u_sf,34.0,34.00,1.04
cc3-5u_sf_r,31.0,31.00,1.00
cc5-3p_sf,7404.0,7558.90,67.49
cc5-3p_sf_r,6251.0,6315.50,77.06
cc5-3u_sf,74.0,75.00,23.69
cc5-3u_sf_r,48.0,49.30,43.20
cc6-2p_sf,3271.0,3271.00,0.72
cc6-2p_sf_r,2374.0,2374.00,0.64
cc6-2u_sf,32.0,32.00,0.43
cc6-2u_sf_r,26.0,26.00,0.45
cc9-2p_sf,17969.0,18072.10,845.27
cc9-2p_sf_r,17613.0,17731.70,2442.01
cc9-2u_sf,179.0,180.60,363.43
cc9-2u_sf_r,173.0,175.20,958.33
hc6p_sf,4011.0,4019.50,3.15
hc6p_sf_r,3810.0,3814.20,4.56
hc6u_sf,39.0,39.60,1.33
hc6u_sf_r,37.0,37.00,1.67
hc7p_sf,7940.0,7996.70,38.50
hc7p_sf_r,7628.0,7686.20,75.53
hc7u_sf,79.0,79.50,13.99
hc7u_sf_r,75.0,75.70,30.46
hc8p_sf,15869.0,15946.90,540.62
hc8p_sf_r,15496.0,15585.69,4102.24
hc8u_sf,157.0,158.30,179.95
hc8u_sf_r,154.0,155.50,1117.39
hc9p_sf,31633.0,31740.70,8053.88
