Instância,best,media,tempo
c12_sf,46.0,46.00,16.87
c12_sf_r,44.0,44.00,14.12
c13_sf,258.0,258.50,1097.34
c13_sf_r,258.0,258.20,1384.79
c14_sf,323.0,323.70,3604.01
c14_sf_r,316.0,316.70,5750.78
cc3-4p_sf,2248.0,2248.00,0.21
cc3-4p_sf_r,1347.0,1347.00,0.15
cc3-4u_sf,22.0,22.00,0.14
cc3-4u_sf_r,14.0,14.00,0.15
cc3-5p_sf,3470.0,3474.00,2.26
cc3-5p_sf_r,2691.0,2691.30,2.37
cc3-5u_sf,34.0,34.00,0.87
cc3-5u_sf_r,31.0,31.00,0.88
cc5-3p_sf,7404.0,7509.40,57.88
cc5-3p_sf_r,6251.0,6312.00,46.64
cc5-3u_sf,73.0,74.10,20.09
cc5-3u_sf_r,48.0,48.90,25.92
cc6-2p_sf,3271.0,3271.00,0.46
cc6-2p_sf_r,2374.0,2374.00,0.39
cc6-2u_sf,32.0,32.00,0.31
cc6-2u_sf_r,26.0,26.40,0.29
cc9-2p_sf,17778.0,17927.60,687.94
cc9-2p_sf_r,17351.0,17577.60,1958.09
cc9-2u_sf,177.0,179.60,356.60
cc9-2u_sf_r,173.0,174.10,868.84
hc6p_sf,4003.0,4008.30,2.22
hc6p_sf_r,3810.0,3815.80,2.59
hc6u_sf,39.0,39.60,1.22
hc6u_sf_r,37.0,37.00,1.04
hc7p_sf,7910.0,7939.10,28.20
hc7p_sf_r,7613.0,7661.70,49.74
hc7u_sf,79.0,79.10,13.25
hc7u_sf_r,74.0,75.00,25.88
hc8p_sf,15760.0,15882.40,444.76
hc8p_sf_r,15543.0,15580.20,3339.13
hc8u_sf,156.0,158.20,174.44
hc8u_sf_r,154.0,154.70,1065.89
hc9p_sf,31371.0,31619.70,7153.58
