instance mined_iters best_sol_size best_sol_pattern_size avg_sol_size avg_pattern_size
c01.dat 175 20 0 19.975 20
c02.dat 154 26 0 26.07 26
c03.dat 136 160 143 161.355 152.029
c04.dat 167 222 213 222.275 210.365
c05.dat 74 332 310 332.055 312.959
c06.dat 178 10 0 10 10
c09.dat 100 205 185 205.635 193.74
c10.dat 165 325 309 323.935 305.291
c11.dat 178 11 0 10.465 5.47753
jmp-n-100-a-200-p-025-k-10-s-4791.dat 161 33 30 34.16 30.6522
jmp-n-100-a-200-p-025-k-5-s-4786.dat 131 33 0 34.55 29.9542
jmp-n-25-a-160-p-025-k-2-s-4711.dat 178 8 0 8 8
jmp-n-50-a-160-p-025-k-5-s-4731.dat 165 17 0 17.315 14.3636
jmp-n-50-a-200-p-025-k-5-s-4781.dat 150 16 0 16.05 14.2533
jmp-n-500-a-200-p-050-k-50-s-5226.dat 121 278 99 284.37 100.686
