Instância;best;media;tempo
ER-001;421,0;421,0000000;0,0009046
ER-002;163,0;163,0000000;0,0017670
ER-003;123,0;123,0000000;0,0022136
ER-004;64,0;64,0000000;0,0022492
ER-005;126,0;126,0000000;0,0030017
ER-006;86,0;86,0000000;0,0030916
ER-007;46,0;46,0000000;0,0027965
ER-008;71,0;71,0000000;0,0027494
ER-009;44,0;44,0000000;0,0025585
ER-010;352,0;352,0000000;0,0047455
ER-011;265,0;265,0000000;0,0054693
ER-012;176,0;176,0000000;0,0069262
ER-013;140,0;140,0000000;0,0082347
ER-014;96,0;96,0000000;0,0067989
ER-015;98,0;98,0000000;0,0096103
ER-016;81,0;81,0000000;0,0100934
ER-017;76,0;76,0000000;0,0072998
ER-018;58,0;58,0000000;0,0054325
ER-019;413,0;413,0000000;0,0103547
ER-020;239,0;239,0000000;0,0090113
ER-021;123,0;123,0000000;0,0102634
ER-022;110,0;110,0000000;0,0108819
ER-023;103,0;103,0000000;0,0114103
ER-024;118,0;118,0000000;0,0162336
ER-025;81,0;81,0000000;0,0151648
ER-026;81,0;81,0000000;0,0146066
ER-027;68,0;68,0000000;0,0133818
ER-028;375,0;375,0000000;0,0145711
ER-029;210,0;210,0000000;0,0176486
ER-030;174,0;174,0000000;0,0197910
ER-031;148,0;148,0000000;0,0207355
ER-032;167,0;167,0000000;0,0252404
ER-033;115,0;115,0000000;0,0172166
ER-034;119,0;119,0000000;0,0251972
ER-035;87,0;87,0000000;0,0187342
ER-036;81,0;81,0000000;0,0203851
ER-037;423,0;423,0000000;0,0204555
ER-038;236,0;236,0000000;0,0249767
ER-039;200,0;200,0000000;0,0248266
ER-040;181,0;181,0000000;0,0280149
ER-041;147,0;147,0000000;0,0297815
ER-042;112,0;112,0000000;0,0279841
ER-043;121,0;121,0000000;0,0323311
ER-044;101,0;101,0000000;0,0214839
ER-045;111,0;111,0000000;0,0387672
ER-046;416,0;416,0000000;0,0253729
ER-047;299,0;299,0000000;0,0315485
ER-048;202,0;202,0000000;0,0323043
ER-049;166,0;166,0000000;0,0345949
ER-050;148,0;148,0000000;0,0398296
