Instância,best,media,tempo
ER-001,421.0,421.00,0.00
ER-002,163.0,163.00,0.00
ER-003,123.0,123.00,0.00
ER-004,64.0,64.00,0.00
ER-005,126.0,126.00,0.00
ER-006,86.0,86.00,0.00
ER-007,46.0,46.00,0.00
ER-008,71.0,71.00,0.00
ER-009,44.0,44.00,0.00
ER-010,352.0,352.00,0.00
ER-011,265.0,265.00,0.01
ER-012,176.0,176.00,0.01
ER-013,140.0,140.00,0.01
ER-014,96.0,96.00,0.01
ER-015,98.0,98.00,0.01
ER-016,81.0,81.00,0.01
ER-017,76.0,76.00,0.01
ER-018,58.0,58.00,0.01
ER-019,413.0,413.00,0.01
ER-020,239.0,239.00,0.01
ER-021,123.0,123.00,0.01
ER-022,110.0,110.00,0.01
ER-023,103.0,103.00,0.01
ER-024,118.0,118.00,0.02
ER-025,81.0,81.00,0.02
ER-026,81.0,81.00,0.01
ER-027,68.0,68.00,0.01
ER-028,375.0,375.00,0.01
ER-029,210.0,210.00,0.02
ER-030,174.0,174.00,0.02
ER-031,148.0,148.00,0.02
ER-032,167.0,167.00,0.03
ER-033,115.0,115.00,0.02
ER-034,119.0,119.00,0.03
ER-035,87.0,87.00,0.02
ER-036,81.0,81.00,0.02
ER-037,423.0,423.00,0.02
ER-038,236.0,236.00,0.02
ER-039,200.0,200.00,0.02
ER-040,181.0,181.00,0.03
ER-041,147.0,147.00,0.03
ER-042,112.0,112.00,0.03
ER-043,121.0,121.00,0.03
ER-044,101.0,101.00,0.02
ER-045,111.0,111.00,0.04
ER-046,416.0,416.00,0.03
ER-047,299.0,299.00,0.03
ER-048,202.0,202.00,0.03
ER-049,166.0,166.00,0.03
ER-050,148.0,148.00,0.04
ER-051,118.0,118.00,0.03
ER-052,127.0,127.00,0.04
ER-053,114.0,114.00,0.05
ER-054,112.0,112.00,0.04
ER-055,479.0,479.00,0.03
ER-056,262.0,262.00,0.05
ER-057,204.0,204.00,0.04
ER-058,170.0,170.00,0.05
ER-059,142.0,142.00,0.05
ER-060,148.0,148.00,0.05
ER-061,132.0,132.00,0.05
ER-062,117.0,117.00,0.04
ER-063,134.0,134.00,0.04
ER-064,425.0,425.00,0.04
ER-065,263.0,263.00,0.04
ER-066,230.0,230.00,0.05
ER-067,181.0,181.00,0.06
ER-068,161.0,161.00,0.05
ER-069,162.0,162.00,0.06
ER-070,147.0,147.00,0.06
ER-071,127.0,127.00,0.05
ER-072,128.0,128.00,0.06
ER-073,465.0,465.00,0.05
ER-074,274.0,274.00,0.05
ER-075,241.0,241.00,0.05
ER-076,201.0,201.00,0.06
ER-077,178.0,178.00,0.06
ER-078,163.0,163.00,0.05
ER-079,156.0,156.00,0.06
ER-080,145.0,145.00,0.06
ER-081,139.0,139.00,0.07
ER-082,530.0,530.00,0.05
ER-083,289.0,289.00,0.06
ER-084,224.0,224.00,0.05
ER-085,190.0,190.00,0.06
ER-086,204.0,204.00,0.07
ER-087,166.0,166.00,0.08
ER-088,156.0,156.00,0.07
ER-089,152.0,152.00,0.07
ER-090,159.0,159.00,0.08
ER-091,516.0,516.00,0.06
ER-092,313.0,313.00,0.06
ER-093,264.0,264.00,0.07
ER-094,223.0,223.00,0.08
ER-095,196.0,196.00,0.09
ER-096,180.0,180.00,0.08
ER-097,169.0,169.00,0.08
ER-098,167.0,167.00,0.09
ER-099,159.0,159.00,0.07
ER-100,577.0,577.00,0.08
ER-101,356.0,356.00,0.07
ER-102,246.0,246.00,0.08
ER-103,228.0,228.00,0.08
ER-104,222.0,222.00,0.10
ER-105,193.0,193.00,0.08
ER-106,178.0,178.00,0.09
ER-107,177.0,177.00,0.07
ER-108,173.0,173.00,0.08
ER-109,569.0,569.00,0.08
ER-110,355.0,355.00,0.09
ER-111,269.0,269.00,0.09
ER-112,246.0,246.00,0.10
ER-113,223.0,223.00,0.08
ER-114,195.0,195.00,0.09
ER-115,186.0,186.00,0.11
ER-116,178.0,178.00,0.12
ER-117,188.0,188.00,0.09
ER-118,534.0,534.00,0.07
ER-119,365.0,365.00,0.08
ER-120,284.0,284.00,0.10
ER-121,257.0,257.00,0.12
ER-122,230.0,230.00,0.09
ER-123,210.0,210.00,0.11
ER-124,194.0,194.00,0.12
ER-125,210.0,210.00,0.13
ER-126,184.0,184.00,0.14
antiwheel5,8.0,8.00,0.00
b01,94.0,94.00,0.00
b02,84.0,84.00,0.00
b03,144.0,144.00,0.00
b04,61.0,61.00,0.00
b05,61.0,61.00,0.00
b06,127.0,127.00,0.00
b07,112.0,112.00,0.00
b08,108.0,108.00,0.00
b09,223.0,223.00,0.00
b10,96.0,96.00,0.00
b11,93.0,93.00,0.00
b12,174.0,174.00,0.00
b13,178.0,178.00,0.00
b14,244.0,244.00,0.00
b15,320.0,320.00,0.00
b16,138.0,138.00,0.00
b17,134.0,134.00,0.00
b18,224.0,224.00,0.00
berlin52,1069.0,1069.00,0.01
brasil58,13812.0,13812.00,0.03
c01,78.0,78.00,0.01
c02,144.0,144.00,0.00
c06,74.0,74.00,0.00
c07,114.0,114.00,0.01
c11,33.0,33.00,0.01
c12,47.0,47.00,0.01
d01,132.0,132.00,0.02
d02,237.0,237.00,0.01
d03,1623.0,1623.00,0.02
d04,2011.0,2011.00,0.02
d05,3301.0,3301.00,0.03
d06,89.0,89.00,0.01
d07,105.0,105.00,0.01
d08,1153.0,1153.00,0.02
d09,1550.0,1550.00,0.02
