instance,MultiStart,MDM
4786,351,351
4786,350,351
4786,350,351
4786,351,351
4786,351,351
4786,350,351
4786,351,351
4786,350,350
4786,351,351
4786,350,351
4791,361,361
4791,359,361
4791,364,361
4791,361,361
4791,361,361
4791,360,361
4791,361,361
4791,361,361
4791,361,361
4791,360,361
5226,6095,5562
5226,6015,5526
5226,6054,5541
5226,6011,5546
5226,6024,5597
5226,6022,5551
5226,6097,5570
5226,6059,5517
5226,6056,5396
5226,6062,5528
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf.stp,2248,2248
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4p_sf_r.stp,1347,1347
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf.stp,22,22
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-4u_sf_r.stp,14,14
./Instances/testing/cc3-5p_sf.stp,3472,3475
./Instances/testing/cc3-5p_sf.stp,3475,3474
